hx_vol_mult,yycs_vol_mult,jzjq_spread,jzjq_vol_mult,stop_loss_pct,total_return,n_trades,win_rate,avg_ret_per_trade,score
1.2,1.5,0.02,1.5,0.08,3.33,6.7,32.0,2.3,3.036
1.2,1.5,0.02,1.5,0.1,3.15,6.3,33.0,1.96,2.6068
1.2,1.5,0.02,2.0,0.06,3.11,7.2,28.0,2.25,2.88
1.2,1.5,0.02,2.0,0.08,3.24,6.5,30.0,2.05,2.665
1.2,1.5,0.02,2.0,0.1,3.05,6.1,32.0,1.68,2.2176
1.2,1.5,0.02,2.5,0.06,3.02,7.2,28.0,2.23,2.8544
1.2,1.5,0.02,2.5,0.08,3.18,6.5,30.0,2.04,2.652
1.2,1.5,0.02,2.5,0.1,2.99,6.1,32.0,1.72,2.2704
1.2,2.0,0.01,1.5,0.06,3.54,6.5,28.0,2.86,3.6608
1.2,2.0,0.01,1.5,0.08,3.67,6.1,31.0,2.69,3.5239
1.2,2.0,0.01,1.5,0.1,3.42,5.8,32.0,2.18,2.8776
1.2,2.0,0.01,2.0,0.06,3.69,6.2,29.0,3.44,4.4376
1.2,2.0,0.01,2.0,0.08,3.65,5.8,32.0,3.0,3.96
1.2,2.0,0.01,2.0,0.1,3.4,5.6,33.0,2.47,3.2851
1.2,2.0,0.01,2.5,0.06,3.42,6.3,29.0,3.17,4.0893
1.2,2.0,0.01,2.5,0.08,3.43,5.9,31.0,2.8,3.668
1.2,2.0,0.01,2.5,0.1,3.2,5.6,33.0,2.27,3.0191
1.2,2.0,0.015,1.5,0.06,3.24,7.0,28.0,2.2,2.816
1.2,2.0,0.015,1.5,0.08,3.39,6.4,31.0,2.1,2.751
1.2,2.0,0.015,1.5,0.1,3.29,5.9,33.0,1.77,2.3541
1.2,2.0,0.015,2.0,0.06,3.63,6.3,29.0,3.28,4.2312
1.2,2.0,0.015,2.0,0.08,3.56,5.9,31.0,2.79,3.6549
1.2,2.0,0.015,2.0,0.1,3.31,5.6,33.0,2.16,2.8728
1.2,2.0,0.015,2.5,0.06,3.38,6.3,29.0,3.07,3.9603
1.2,2.0,0.015,2.5,0.08,3.38,6.0,31.0,2.7,3.537
1.2,2.0,0.015,2.5,0.1,3.17,5.6,33.0,2.11,2.8063
1.2,2.0,0.02,1.5,0.06,3.14,7.2,28.0,2.34,2.9952
1.2,2.0,0.02,1.5,0.08,3.3,6.5,31.0,2.09,2.7379
1.2,2.0,0.02,1.5,0.1,3.21,6.0,33.0,1.73,2.3009
1.2,2.0,0.02,2.0,0.06,3.5,6.4,29.0,2.96,3.8184
1.2,2.0,0.02,2.0,0.08,3.44,6.0,31.0,2.4,3.144
1.2,2.0,0.02,2.0,0.1,3.22,5.7,32.0,1.76,2.3232
1.2,2.0,0.02,2.5,0.06,3.33,6.4,29.0,2.83,3.6507
1.2,2.0,0.02,2.5,0.08,3.35,6.0,31.0,2.41,3.1571
1.2,2.0,0.02,2.5,0.1,3.13,5.7,33.0,1.79,2.3807
1.2,2.5,0.01,1.5,0.06,3.41,6.4,26.0,2.44,3.0744
1.2,2.5,0.01,1.5,0.08,3.6,5.9,29.0,2.44,3.1476
1.2,2.5,0.01,1.5,0.1,3.43,5.6,34.0,2.26,3.0284
1.2,2.5,0.01,2.0,0.06,3.62,6.1,28.0,3.05,3.904
1.2,2.5,0.01,2.0,0.08,3.64,5.7,31.0,2.78,3.6418
1.2,2.5,0.01,2.0,0.1,3.41,5.4,35.0,2.52,3.402
1.2,2.5,0.01,2.5,0.06,3.34,6.1,28.0,2.76,3.5328
1.2,2.5,0.01,2.5,0.08,3.41,5.7,30.0,2.57,3.341
1.2,2.5,0.01,2.5,0.1,3.21,5.5,35.0,2.33,3.1455
1.2,2.5,0.015,1.5,0.06,3.12,6.9,26.0,1.72,2.1672
1.2,2.5,0.015,1.5,0.08,3.33,6.2,30.0,1.78,2.314
1.2,2.5,0.015,1.5,0.1,3.3,5.8,35.0,1.91,2.5785
1.2,2.5,0.015,2.0,0.06,3.55,6.1,28.0,2.88,3.6864
1.2,2.5,0.015,2.0,0.08,3.55,5.7,30.0,2.56,3.328
1.2,2.5,0.015,2.0,0.1,3.32,5.5,34.0,2.26,3.0284
1.2,2.5,0.015,2.5,0.06,3.3,6.2,28.0,2.61,3.3408
1.2,2.5,0.015,2.5,0.08,3.36,5.8,30.0,2.42,3.146
1.2,2.5,0.015,2.5,0.1,3.18,5.5,34.0,2.17,2.9078
1.2,2.5,0.02,1.5,0.06,3.02,7.1,26.0,1.9,2.394
1.2,2.5,0.02,1.5,0.08,3.24,6.4,30.0,1.81,2.353
1.2,2.5,0.02,1.5,0.1,3.23,5.9,34.0,1.9,2.546
1.2,2.5,0.02,2.0,0.06,3.42,6.3,28.0,2.58,3.3024
1.2,2.5,0.02,2.0,0.08,3.43,5.8,30.0,2.2,2.86
1.2,2.5,0.02,2.0,0.1,3.23,5.5,34.0,1.9,2.546
1.2,2.5,0.02,2.5,0.06,3.25,6.3,28.0,2.37,3.0336
1.2,2.5,0.02,2.5,0.08,3.33,5.8,30.0,2.12,2.756
1.2,2.5,0.02,2.5,0.1,3.14,5.5,34.0,1.84,2.4656
1.5,1.5,0.01,1.5,0.06,2.69,5.6,27.0,3.98,5.0546
1.5,1.5,0.01,1.5,0.08,3.04,5.2,32.0,4.09,5.3988
1.5,1.5,0.01,1.5,0.1,3.23,4.9,34.0,4.16,5.5744
1.5,1.5,0.01,2.0,0.06,2.68,5.4,27.0,3.98,5.0546
1.5,1.5,0.01,2.0,0.08,3.03,5.0,32.0,4.05,5.346
1.5,1.5,0.01,2.0,0.1,3.19,4.8,34.0,4.1,5.494
1.5,1.5,0.01,2.5,0.06,2.03,5.5,26.0,3.38,4.2588
1.5,1.5,0.01,2.5,0.08,2.4,5.1,30.0,3.39,4.407
1.5,1.5,0.01,2.5,0.1,2.64,4.8,33.0,3.51,4.6683
1.5,1.5,0.015,1.5,0.06,2.42,6.0,27.0,3.7,4.699
1.5,1.5,0.015,1.5,0.08,2.88,5.4,32.0,3.99,5.2668
1.5,1.5,0.015,1.5,0.1,3.08,5.1,34.0,4.04,5.4136
1.5,1.5,0.015,2.0,0.06,2.58,5.5,27.0,3.85,4.8895
1.5,1.5,0.015,2.0,0.08,2.95,5.1,31.0,3.95,5.1745
